OBJECTID,NAZOB,ICO,POCET_OBYVATEL_260311
1615,Novosedly,00251623,355
1616,Osek,00251631,689
1617,Paračov,00251640,106
1618,Pivkovice,00667765,80
1619,Pohorovice,00667773,79
1620,Pracejovice,00251682,313
1621,Předmíř,00228699,336
1622,Přední Zborovice,00667790,90
1623,Předslavice,00251691,269
1624,Přechovice,00667781,106
1625,Přešťovice,00251704,399
1626,Radějovice,00667803,33
1627,Radomyšl,00251721,1237
1628,Radošovice,00251739,658
1629,Rovná,00667811,242
1630,Řepice,00667820,461
1631,Sedlice,00251755,1307
1632,Skály,00667838,65
1633,Skočice,00251780,219
1634,Slaník,00667846,154
1635,Sousedovice,00251798,272
1636,Stožice,48222623,323
1637,Strakonice,00251810,23096
1638,Strašice,00251828,192
1639,Strunkovice nad Volyňkou,00667854,106
1640,Střelské Hoštice,00251844,895
1641,Škvořetice,00251879,333
1642,Štěchovice,00667862,227
1643,Štěkeň,00251895,829
1644,Tchořovice,00667871,246
1645,Truskovice,00667889,186
1646,Třebohostice,00251933,299
1647,Třešovice,00667897,87
1648,Úlehle,00667901,107
1649,Únice,00667919,61
1650,Uzenice,00251968,127
1651,Uzeničky,00667927,124
1652,Vacovice,00667935,59
1653,Velká Turná,00667943,161
1654,Vodňany,00251984,7090
1655,Volenice,00397342,540
1656,Volyně,00252000,3031
1657,Záboří,00252018,305
1658,Zahorčice,00667951,68
1659,Zvotoky,00667960,62
1660,Balkova Lhota,00512516,121
1661,Bečice,00512524,74
1662,Bechyně,00252069,5386
1663,Běleč,00582506,181
1664,Borkovice,00252093,238
1665,Borotín,00252107,615
1666,Bradáčov,00512532,58
1667,Březnice,00252131,197
1668,Budislav,00252140,375
1669,Černýšovice,00512559,78
1670,Dírná,00252166,434
1671,Dlouhá Lhota,00512567,168
1672,Dobronice u Bechyně,00512575,116
1673,Dolní Hořice,00252191,818
1674,Dolní Hrachovice,00582441,136
1675,Drahov,00512583,167
1676,Dráchov,00252221,257
1677,Dražice,00252239,787
1678,Dražičky,00512591,140
1679,Drhovice,00512605,201
1680,Haškovcova Lhota,00512613,66
1681,Hlasivo,00582492,169
1682,Hlavatce,00252263,364
1683,Hodětín,00512630,86
1684,Hodonice,00512621,152
1685,Chotěmice,00512648,109
1686,Chotoviny,00252352,1672
1687,Choustník,00252361,496
1688,Chrbonín,00512656,147
1689,Chýnov,00252387,2359
1690,Jedlany,00512664,77
1691,Jistebnice,00252425,2007
1692,Katov,00582808,72
1693,Klenovice,00512672,612
1694,Komárov,00512681,121
1695,Košice,00252468,730
1696,Košín,00666971,73
1697,Krátošice,00582484,101
1698,Krtov,00666980,143
1699,Libějice,00666998,109
1700,Lom,00667005,151
1701,Malšice,00252522,1871
1702,Mažice,00667013,122
1703,Meziříčí,00667021,167
1704,Mezná,00667030,108
1705,Mladá Vožice,00252557,2706
1706,Mlýny,00252565,141
1707,Myslkovice,00667048,379
1708,Nadějkov,00249891,744
1709,Nasavrky,00667056,79
1710,Nemyšl,00667064,296
1711,Nová Ves u Chýnova,00252603,287
1712,Nová Ves u Mladé Vožice,00667072,173
1713,Oldřichov,00252620,222
1714,Opařany,00252638,1419
1715,Planá nad Lužnicí,00252654,3773
1716,Pohnánec,00582514,56
1717,Pohnání,00252671,79
1718,Pojbuky,00667081,113
1719,Přehořov,00252719,334
1720,Psárov,00667099,123
1721,Radenín,00252735,512
1722,Radětice,00252743,219
1723,Radimovice u Tábora,00667102,70
1724,Radimovice u Želče,00252751,384
1725,Radkov,00667111,167
1726,Rataje,00252786,208
1727,Ratibořské Hory,00252794,756
1728,Rodná,00582450,91
1729,Roudná,00252816,533
1730,Řemíčov,00582468,66
1731,Řepeč,00667129,255
1732,Řípec,00667137,312
1733,Sedlečko u Soběslavě,00667145,131
1734,Sezimovo Ústí,00252859,7349
1735,Skalice,00252867,471
1736,Skopytce,00252875,150
1737,Skrýchov u Malšic,00582433,131
1738,Slapsko,00667153,151
1739,Slapy,00667161,473
1740,Smilovy Hory,00252913,365
1741,Soběslav,00252921,7218
1742,Stádlec,00252930,563
1743,Sudoměřice u Bechyně,00252964,676
1744,Sudoměřice u Tábora,00667170,310
1745,Sviny,00667188,349
1746,Svrabov,00667196,56
1747,Šebířov,00253006,368
1748,Tábor,00253014,35198
1749,Třebějice,00667200,76
1750,Tučapy,00253049,768
1751,Turovec,00582867,248
1752,Ústrašice,00667218,336
1753,Val,00667226,252
1754,Vesce,00667234,271
1755,Veselí nad Lužnicí,00253081,6461
1756,Vilice,00667242,164
1757,Vlastiboř,00253103,312
1758,Vlčeves,00667251,78
1759,Vlkov,00667269,153
1760,Vodice,00253138,177
1761,Zadní Střítež,00667277,35
1762,Záhoří,00667285,51
1763,Zálší,00667293,275
1764,Zhoř u Mladé Vožice,00667307,98
1765,Zhoř u Tábora,00582476,173
1766,Zlukov,00667315,261
1767,Zvěrotice,00667323,379
1768,Želeč,00253201,923
1769,Žíšov,00667331,210
1770,Babylon,00572551,293
1771,Bělá nad Radbuzou,00253235,1780
1772,Blížejov,00253243,1437
1773,Brnířov,00572608,376
1774,Bukovec,00572306,99
1775,Čečovice,00572314,92
1776,Čermná,00480339,228
1777,Černovice,00572322,175
1778,Česká Kubice,00253294,860
1779,Díly,00572586,387
1780,Domažlice,00253316,11055
1781,Drahotín,00572284,178
1782,Draženov,00253332,423
1783,Hlohová,00478547,249
1784,Hlohovčice,00572403,185
1785,Holýšov,00253367,4965
1786,Hora Svatého Václava,00572217,65
1787,Horní Kamenice,00572349,232
1788,Horšovský Týn,00253383,4985
1789,Hostouň,00253391,1337
1790,Hradiště,00572501,169
1791,Hvožďany,00572241,33
1792,Chocomyšl,00572527,111
1793,Chodov,00253421,774
1794,Chodská Lhota,00572543,434
1795,Chrastavice,00572641,374
1796,Kanice,00572519,176
1797,Kaničky,00572497,29
1798,Kdyně,00253464,5253
1799,Klenčí pod Čerchovem,00253472,1291
1800,Koloveč,00253481,1005
1801,Kout na Šumavě,00253499,1142
1802,Křenovy,00572420,144
1803,Kvíčovice,00572357,363
1804,Libkov,00572616,112
1805,Loučim,00572624,126
1806,Luženičky,00253537,321
1807,Meclov,00253553,1136
1808,Mezholezy (dříve okres Domažlice),00573311,85
1809,Mezholezy (dříve okres Horšovský Týn),00253561,148
1810,Milavče,00253570,572
1811,Mířkov,00572659,269
1812,Mnichov,00572225,251
1813,Močerady,00572578,63
1814,Mrákov,00253618,1172
1815,Mutěnín,00572560,258
1816,Nemanice,00253634,277
1817,Němčice,00572489,130
1818,Neuměř,00572331,144
1819,Nevolice,00572187,174
1820,Nová Ves,00572632,139
1821,Nový Kramolín,00572292,248
1822,Osvračín,00253651,577
1823,Otov,00572268,92
1824,Pařezov,00572276,144
1825,Pasečnice,00572179,192
1826,Pec,00572195,245
1827,Pelechy,00572161,69
1828,Poběžovice,00253669,1658
1829,Pocinovice,00253677,556
1830,Poděvousy,00572381,233
1831,Postřekov,00253685,1112
1832,Puclice,00253693,342
1833,Rybník,00253707,193
1834,Semněvice,00253715,173
1835,Spáňov,00572438,189
1836,Srbice,00253731,393
1837,Srby,00477648,400
1838,Staňkov,00253766,3238
1839,Stráž,00253774,235
1840,Štichov,00572373,73
1841,Tlumačov,00253804,427
1842,Trhanov,00572209,555
1843,Úboč,00572471,101
1844,Újezd,00253839,402
1845,Únějovice,00572462,105
1846,Úsilov,00572535,136
1847,Velký Malahov,00572446,262
1848,Vidice,00572411,173
1849,Vlkanov,00572233,123
1850,Všekary,00572365,113
1851,Všepadly,00572454,47
1852,Všeruby,00253871,822
1853,Zahořany,00253880,960
1854,Ždánov,00572594,148
1855,Běhařov,00573507,225
1856,Běšiny,00255211,846
1857,Bezděkov,00255220,937
1858,Biřkov,43313868,139
1859,Bolešiny,00255246,734
1860,Břežany,00573396,180
1861,Budětice,00255289,291
1862,Bukovník,47730871,84
1863,Čachrov,00255319,542
1864,Černíkov,00253286,331
1865,Červené Poříčí,00573469,235
1866,Číhaň,00573477,205
1867,Čímice,43313914,177
1868,Dešenice,00255394,702
1869,Dlažov,00255408,472
1870,Dlouhá Ves,00255416,842
1871,Dobršín,47730862,104
1872,Dolany,00255424,834
1873,Domoraz,43313922,51
1874,Dražovice,00573451,167
1875,Frymburk,43313949,115
1876,Hamry,43313809,108
1877,Hartmanice,00255467,1069
1878,Hejná,00573485,177
1879,Hlavňovice,00255483,486
1880,Hnačov,00573493,111
1881,Horažďovice,00255513,5564
1882,Horská Kvilda,00573426,78
1883,Hrádek,00255530,1389
1884,Hradešice,00255548,429
1885,Chanovice,00255556,761
1886,Chlistov,00573566,117
1887,Chudenice,00255599,789
1888,Chudenín,00255602,605
1889,Janovice nad Úhlavou,00255611,2221
1890,Javor,00573531,75
1891,Ježovy,00573540,234
1892,Kašperské Hory,00255645,1486
1893,Kejnice,00573523,110
1894,Klatovy,00255661,22567
1895,Klenová,00573515,126
1896,Kolinec,00255688,1461
1897,Kovčín,43313876,79
1898,Křenice,00255718,186
1899,Kvášňovice,00573558,126
1900,Lomec,43313850,122
1901,Malý Bor,00255777,555
1902,Maňovice,43313892,37
1903,Měčín,00255785,1146
1904,Mezihoří,43313833,67
1905,Mlýnské Struhadlo,00573434,47
1906,Modrava,00573418,63
1907,Mochtín,00255823,960
1908,Mokrosuky,00573329,128
1909,Myslív,00255840,454
1910,Myslovice,00573442,123
1911,Nalžovské Hory,00255866,1197
1912,Nehodiv,43313884,78
1913,Nezamyslice,43313931,224
1914,Nezdice na Šumavě,00255912,312
1915,Nýrsko,00255921,5112
1916,Obytce,00573574,200
1917,Olšany,00573582,204
1918,Ostřetice,43313841,68
1919,Pačejov,00255963,797
1920,Petrovice u Sušice,00255971,605
1921,Plánice,00255980,1704
1922,Podmokly,49209001,171
1923,Poleň,00573591,298
1924,Prášily,43313957,170
1925,Předslav,00256021,725
1926,Rabí,00256030,499
1927,Rejštejn,00256048,255
1928,Slatina,43313906,109
1929,Soběšice,00256072,388
1930,Srní,00256081,255
1931,Strašín,00256099,342
1932,Strážov,00256102,1359
1933,Sušice,00256129,11331
1934,Svéradice,00573337,354
1935,Švihov,00256153,1674
1936,Tužice,49208993,86
1937,Týnec,00573604,319
1938,Újezd u Plánice,43313817,113
1939,Velhartice,00256242,888
1940,Velké Hydčice,00256251,239
1941,Velký Bor,00256269,582
1942,Vrhaveč,00256307,901
1943,Vřeskovice,00573400,288
1944,Zavlekov,00256315,428
1945,Zborovy,43313825,127
1946,Železná Ruda,00256358,1881
1947,Žihobce,00256366,626
1948,Žichovice,00256374,673
1949,Dýšina,00257745,1810
1950,Chrást,00257851,1819
1951,Chválenice,00256714,642
1952,Kyšice,00258024,880
1953,Letkov,00574155,582
1954,Lhůta,45331006,169
1955,Losiná,00256871,1119
1956,Mokrouše,00574309,205
1957,Nezbavětice,49180509,206
1958,Nezvěstice,00257028,1451
1959,Plzeň,00075370,169688
1960,Starý Plzenec,00257257,4798
1961,Šťáhlavy,00257290,2376
1962,Štěnovický Borek,00574040,481
1963,Tymákov,00257338,821
1964,Blovice,00256455,4179
1965,Bolkov,00574082,57
1966,Borovno,00574139,90
1967,Borovy,00573388,230
1968,Buková,00256471,234
1969,Čižice,00256528,511
1970,Čížkov,00256536,675
1971,Čmelíny,44626754,118
1972,Dnešice,00256544,841
1973,Dobřany,00256552,6102
1974,Dolce,00574163,271
1975,Dolní Lukavice,00256561,870
1976,Drahkov,00574171,124
1977,Honezovice,00574031,229
1978,Horní Lukavice,00574201,386
1979,Horšice,00256609,412
1980,Hradec,00256617,534
1981,Hradiště,00256625,227
1982,Chlum,00256641,225
1983,Chlumčany,00256650,2466
1984,Chlumy,00574325,197
1985,Chocenice,00256676,561
1986,Chotěšov,00256706,2824
1987,Jarov,44626738,236
1988,Kasejovice,00256731,1300
1989,Kbel,00256749,314
1990,Klášter,00256765,190
1991,Kotovice,00574023,292
1992,Kozlovice,00574295,88
1993,Kramolín,00256811,115
1994,Letiny,00256820,632
1995,Lisov,00574104,110
1996,Líšina,00574066,163
1997,Louňová,00256889,63
1998,Lužany,00256897,631
1999,Měcholupy,00574228,206
2000,Merklín,00256901,1203
2001,Mileč,00256927,374
2002,Milínov,48333468,192
2003,Míšov,00256943,112
2004,Mladý Smolivec,00256935,729
2005,Mohelnice,00256951,67
2006,Nebílovy,00574198,333
2007,Nekvasovy,00256978,187
2008,Nepomuk,00256986,3796
2009,Netunice,00256994,188
2010,Neurazy,00257001,917
2011,Nezdice,00573370,214
2012,Nezdřev,00574112,112
2013,Nová Ves,00574287,266
2014,Nové Mitrovice,00257052,322
2015,Oplot,00574147,339
2016,Oselce,00257061,340
2017,Otěšice,00574317,153
2018,Polánka,49180592,47
2019,Prádlo,00257117,267
2020,Předenice,00574180,205
2021,Přestavlky,48333344,222
2022,Přeštice,00257125,7271
2023,Příchovice,00257133,1047
2024,Ptenín,00257141,206
2025,Radkovice,00574210,113
2026,Roupov,00257176,259
2027,Řenče,00257184,906
2028,Seč,00257192,289
2029,Sedliště,00574244,106
2030,Skašov,00574261,239
2031,Soběkury,00257222,622
2032,Spálené Poříčí,00257249,2685
2033,Srby,00574236,175
2034,Stod,00257265,3757
2035,Střelice,00574091,146
2036,Střížovice,00257273,360
2037,Štěnovice,00257303,1764
2038,Tojice,46810161,88
2039,Třebčice,44626614,114
2040,Týniště,00574252,48
2041,Únětice,00574333,135
2042,Útušice,00257354,651
2043,Ves Touškov,00257362,322
2044,Vlčí,00574279,66
2045,Vlčtejn,00574058,97
2046,Vrčeň,00257427,336
2047,Vstiš,00257435,443
2048,Zdemyslice,00257451,539
2049,Zemětice,00257460,258
2050,Žákava,48333310,416
2051,Ždírec,00257478,454
2052,Žinkovy,00257508,885
2053,Životice,00574074,51
2054,Bdeněves,00573001,611
2055,Bezvěrov,00257541,672
2056,Bílov,47733381,86
2057,Blatnice,00257567,771
2058,Blažim,00573035,61
2059,Bohy,00572977,127
2060,Brodeslavy,00572985,78
2061,Bučí,00572870,153
2062,Čeminy,00573051,247
2063,Černíkovice,00572829,74
2064,Čerňovice,47733365,136
2065,Česká Bříza,00257630,548
2066,Dobříč,00257664,394
2067,Dolany,00257672,274
2068,Dolní Bělá,00257681,424
2069,Dolní Hradiště,18246028,40
2070,Dražeň,18246036,153
2071,Druztová,00257729,679
2072,Heřmanova Huť,00257753,1783
2073,Hlince,00572934,72
2074,Hněvnice,47733454,108
2075,Holovousy,00572942,61
2076,Horní Bělá,00257761,570
2077,Horní Bříza,00257770,4394
2078,Hromnice,00257800,1112
2079,Hvozd,00257826,256
2080,Chotíkov,00257834,1063
2081,Chříč,00257869,209
2082,Jarov,00257877,136
2083,Kaceřov,00572853,123
2084,Kaznějov,00257893,3160
2085,Kbelany,00572837,96
2086,Kočín,18246044,123
2087,Kopidlo,00257915,128
2088,Koryta,00572845,138
2089,Kozojedy,00257931,604
2090,Kozolupy,00257940,951
2091,Kožlany,00257958,1443
2092,Kralovice,00257966,3508
2093,Krašovice,00572888,381
2094,Krsy,00257982,224
2095,Křelovice,18246052,229
2096,Kunějovice,00573086,130
2097,Ledce,00258032,750
2098,Líně,00258059,2447
2099,Líšťany,00258067,722
2100,Líté,00572896,211
2101,Lochousice,00572918,113
2102,Loza,00572900,267
2103,Manětín,00258091,1174
2104,Město Touškov,00258105,2064
2105,Mladotice,00258121,556
2106,Mrtník,00258130,343
2107,Myslinka,00573019,153
2108,Nadryby,00572926,110
2109,Nečtiny,00258156,643
2110,Nekmíř,00258164,442
2111,Nevřeň,00573094,262
2112,Nýřany,00258199,7136
2113,Obora,00258202,494
2114,Ostrov u Bezdružic,18246061,209
2115,Pastuchovice,00573108,72
2116,Pernarec,00258229,773
2117,Pláně,47733438,260
2118,Plasy,00258245,2657
2119,Plešnice,00573078,257
2120,Pňovany,00258261,416
2121,Potvorov,47733390,136
2122,Přehýšov,00258288,431
2123,Příšov,00573043,289
2124,Rochlov,00572861,253
2125,Rybnice,00572969,489
2126,Sedlec,47733403,85
2127,Slatina,00572951,72
2128,Studená,49744780,42
2129,Štichovice,18246079,127
2130,Tatiná,18246087,235
2131,Tis u Blatna,00573116,94
2132,Tlučná,00258385,2995
2133,Trnová,00258393,832
2134,Třemošná,00258415,4877
2135,Úherce,00258601,303
2136,Újezd nade Mží,00573060,85
2137,Úlice,00258440,459
2138,Úněšov,00258458,571
2139,Úterý,00258466,454
2140,Vejprnice,00258474,3691
2141,Velečín,18246095,64
2142,Vochov,00258491,684
2143,Všehrdy,00572993,52
2144,Všeruby,00258512,1221
2145,Výrov,00573027,454
2146,Vysoká Libyně,47733373,242
2147,Zahrádka,18246109,147
2148,Zbůch,00258555,2184
2149,Zruč-Senec,00258563,2954
2150,Žihle,00258580,1456
2151,Žilov,00258598,427
2152,Bezděkov,00574015,127
2153,Břasy,00258628,2192
2154,Březina,00258636,332
2155,Bujesily,00479713,60
2156,Bušovice,00258652,548
2157,Cekov,00478814,121
2158,Čilá,00574007,20
2159,Dobřív,00258679,1252
2160,Drahoňův Újezd,47695943,134
2161,Ejpovice,00258695,643
2162,Hlohovice,00258709,334
2163,Holoubkov,00258717,1470
2164,Hrádek,00258725,2918
2165,Hradiště,00573990,25
2166,Hůrky,00258741,229
2167,Cheznovice,00258750,768
2168,Chlum,00573981,47
2169,Chomle,00573973,65
2170,Kakejcov,18243649,91
2171,Kamenec,00573965,57
2172,Kamenný Újezd,00573957,669
2173,Kařez,00258806,600
2174,Kařízek,48378046,52
2175,Klabava,00258814,445
2176,Kladruby,00258822,153
2177,Kornatice,18243631,159
2178,Lhota pod Radčem,00573817,327
2179,Lhotka u Radnic,00573931,74
2180,Liblín,00479411,290
2181,Líšná,00479110,167
2182,Litohlavy,48379701,491
2183,Medový Újezd,18243622,221
2184,Mešno,18243673,92
2185,Mirošov,00258890,2218
2186,Mlečice,00258903,296
2187,Mýto,00258911,1507
2188,Němčovice,00573922,123
2189,Nevid,00519995,174
2190,Osek,00258954,1311
2191,Ostrovec-Lhotka,00573949,105
2192,Plískov,00573841,121
2193,Podmokly,00258989,276
2194,Příkosice,18243665,405
2195,Přívětice,00259012,195
2196,Radnice,00259021,1764
2197,Raková,00519391,228
2198,Rokycany,00259047,14173
2199,Sebečice,00573914,68
2200,Sirá,00478512,124
2201,Skomelno,00573906,204
2202,Skořice,00480011,240
2203,Smědčice,00573850,245
2204,Strašice,00259098,2563
2205,Svojkovice,00573892,401
2206,Štítov,18243657,60
2207,Těně,00259128,264
2208,Terešov,00519693,152
2209,Těškov,00259136,310
2210,Trokavec,18244122,91
2211,Týček,00573825,203
2212,Újezd u Svatého Kříže,00573884,237
2213,Vejvanov,00573876,243
2214,Veselá,00259195,277
2215,Vísky,18244033,48
2216,Volduchy,00259217,1045
2217,Všenice,00573833,260
2218,Zbiroh,00259225,2564
2219,Zvíkovec,00573868,186
2220,Benešovice,00869066,167
2221,Bezdružice,00259705,948
2222,Bor,00259713,4240
2223,Brod nad Tichou,00573787,243
2224,Broumov,00573680,114
2225,Cebiv,00259748,266
2226,Ctiboř,00868841,347
2227,Částkov,00573779,344
2228,Černošín,00259772,1178
2229,Dlouhý Újezd,00573761,380
2230,Erpužice,00259811,346
2231,Halže,00259829,986
2232,Horní Kozolupy,00573736,246
2233,Hošťka,00259853,418
2234,Chodová Planá,00259861,1879
2235,Chodský Újezd,00259870,779
2236,Kladruby,00259888,1557
2237,Kočov,00573795,202
2238,Kokašice,00573647,267
2239,Konstantinovy Lázně,00259918,934
2240,Kostelec,00479292,507
2241,Kšice,00869023,211
2242,Lesná,00259969,458
2243,Lestkov,00259977,385
2244,Lom u Tachova,00573752,415
2245,Milíře,00573639,226
2246,Obora,00573698,108
2247,Olbramov,00573728,55
2248,Ošelín,00573612,139
2249,Planá,00260096,5526
2250,Prostiboř,00573663,141
2251,Přimda,00260118,1585
2252,Rozvadov,00260126,796
2253,Skapce,00868833,94
2254,Staré Sedliště,00260142,1237
2255,Staré Sedlo,00260151,235
2256,Stráž,00260169,1108
2257,Stříbro,00260177,8007
2258,Studánka,00573744,472
2259,Sulislav,00868965,211
2260,Svojšín,00260215,409
2261,Sytno,70886814,352
2262,Tachov,00260231,12801
2263,Tisová,00573809,478
2264,Trpísty,00573710,244
2265,Třemešné,00260274,388
2266,Únehle,00573701,126
2267,Vranov,00869007,161
2268,Zadní Chodov,00573671,278
2269,Záchlumí,00573621,405
2270,Zhoř,00573655,129
2271,Aš,00253901,13093
2272,Dolní Žandov,00253910,1210
2273,Drmoul,00253928,890
2274,Františkovy Lázně,00253936,6463
2275,Hazlov,00253952,1634
2276,Hranice,00253961,2200
2277,Cheb,00253979,33446
2278,Krásná,00572675,520
2279,Křižovatka,00254011,270
2280,Lázně Kynžvart,00254029,1501
2281,Libá,00254037,740
2282,Lipová,00254045,693
2283,Luby,00254053,2316
2284,Mariánské Lázně,00254061,15105
2285,Milhostov,00254070,331
2286,Milíkov,00572713,254
2287,Mnichov,00254096,407
2288,Nebanice,00254118,371
2289,Nový Kostel,00254126,533
2290,Odrava,00572802,229
2291,Okrouhlá,00572691,259
2292,Ovesné Kladruby,00572667,118
2293,Plesná,00254169,2057
2294,Podhradí,00572683,188
2295,Pomezí nad Ohří,00572730,152
2296,Poustka,00883611,167
2297,Prameny,00572799,130
2298,Skalná,00254231,1906
2299,Stará Voda,00572748,458
2300,Teplá,00255050,3056
2301,Trstěnice,00254274,369
2302,Třebeň,00572705,416
2303,Tři Sekery,00254304,861
2304,Tuřany,00572811,135
2305,Valy,00572781,418
2306,Velká Hleďsebe,00572756,2204
2307,Velký Luh,00883603,149
2308,Vlkovice,00572764,117
2309,Vojtanov,00572721,214
2310,Zádub-Závišín,00572772,328
2311,Abertamy,00254398,1315
2312,Andělská Hora,00573175,278
2313,Bečov nad Teplou,00254410,1000
2314,Bochov,00254444,2046
2315,Boží Dar,00479705,196
2316,Božičany,00573183,626
2317,Březová,00573191,546
2318,Černava,00573205,302
2319,Čichalov,00480304,150
2320,Dalovice,00573213,1875
2321,Děpoltovice,00573221,363
2322,Hájek,00573230,505
2323,Horní Blatná,00480002,527
2324,Hory,49750500,214
2325,Hradiště, ,576
2326,Hroznětín,00254592,1921
2327,Chodov,00872059,110
2328,Chyše,00254614,595
2329,Jáchymov,00254622,3389
2330,Jenišov,00573248,795
2331,Karlovy Vary,00254657,53737
2332,Kolová,00254673,701
2333,Krásné Údolí,00573256,427
2334,Krásný Les,00872067,299
2335,Kyselka,00254762,808
2336,Merklín,00254789,1117
2337,Mírová,00573264,311
2338,Nejdek,00254801,8387
2339,Nová Role,00254819,4086
2340,Nové Hamry,00479080,335
2341,Ostrov,00254843,17373
2342,Otovice,00573272,698
2343,Otročín,00254860,513
2344,Pernink,00254878,746
2345,Pila,69981264,486
2346,Potůčky,00254894,493
2347,Pšov,00254941,575
2348,Sadov,00254959,1205
2349,Smolné Pece,00573281,135
2350,Stanovice,00254975,602
2351,Stráž nad Ohří,00255009,602
2352,Stružná,00255017,531
2353,Šemnice,00255033,578
2354,Štědrá,00255041,565
2355,Teplička,00573299,103
2356,Toužim,00255076,3833
2357,Útvina,00255106,600
2358,Valeč,00255114,371
2359,Velichov,00255122,552
2360,Verušičky,00255131,400
2361,Vojkovice,00255157,657
2362,Vrbice,00573302,189
2363,Vysoká Pec,00872083,336
2364,Žlutice,00255181,2569
2365,Březová,00259250,2729
2366,Bublava,00259268,386
2367,Bukovany,00259276,1626
2368,Citice,00259284,885
2369,Dasnice,00259292,352
2370,Dolní Nivy,00259306,304
2371,Dolní Rychnov,00573132,1424
2372,Habartov,00259314,5169
2373,Horní Slavkov,00259322,5684
2374,Chlum Svaté Maří,00259331,289
2375,Chodov,00259349,14257
2376,Jindřichovice,00259373,495
2377,Josefov,00519278,345
2378,Kaceřov,00259381,445
2379,Krajková,00259411,901
2380,Královské Poříčí,00259420,853
2381,Kraslice,00259438,6927
2382,Krásno,00573167,739
2383,Kynšperk nad Ohří,00259454,5096
2384,Libavské Údolí,00259462,602
2385,Loket,00259489,3106
2386,Lomnice,00259497,1203
2387,Nová Ves,00259519,232
2388,Nové Sedlo,00259527,2646
2389,Oloví,00259535,1858
2390,Přebuz,00259543,74
2391,Rotava,00259551,3387
2392,Rovná,00259560,481
2393,Sokolov,00259586,24177
2394,Staré Sedlo,00259608,808
2395,Stříbrná,00259616,432
2396,Svatava,00573141,1694
2397,Šabina,00573159,316
2398,Šindelová,00259632,285
2399,Tatrovice,00573124,169
2400,Těšovice,00670715,178
2401,Vintířov,00259641,1126
2402,Vřesová,00259667,408
2403,Arnoltice,00261173,359
2404,Benešov nad Ploučnicí,00261181,3933
2405,Bynovec,00556009,295
2406,Česká Kamenice,00261220,5561
2407,Děčín,00261238,50620
2408,Dobkovice,00261246,670
2409,Dobrná,00555975,455
2410,Dolní Habartice,00555924,562
2411,Dolní Podluží,00261271,1206
2412,Dolní Poustevna,00261289,1852
2413,Doubice,47274212,103
2414,Františkov nad Ploučnicí,00555941,376
2415,Heřmanov,00261327,516
2416,Horní Habartice,00555932,404
2417,Horní Podluží,00524221,771
2418,Hřensko,00261351,334
2419,Huntířov,00261360,752
2420,Chřibská,00261378,1438
2421,Janov,00556025,304
2422,Janská,47274221,201
2423,Jetřichovice,00261394,405
2424,Jílové,00261408,5154
2425,Jiřetín pod Jedlovou,00261416,629
2426,Jiříkov,00261424,3991
2427,Kámen,00832189,203
2428,Krásná Lípa,00261459,3554
2429,Kunratice,00831379,255
2430,Kytlice,00261483,490
2431,Labská Stráň,00555991,209
2432,Lipová,00261505,634
2433,Lobendava,00555983,355
2434,Ludvíkovice,00831964,881
2435,Malá Veleň,00525049,441
2436,Malšovice,00261548,854
2437,Markvartice,00555916,659
2438,Merboltice,00555959,171
2439,Mikulášovice,00261581,2267
2440,Rumburk,00261602,11250
2441,Růžová,00556017,415
2442,Rybniště,00524212,712
2443,Srbská Kamenice,00831387,222
2444,Staré Křečany,00261653,1275
2445,Starý Šachov,00555894,213
2446,Šluknov,00261688,5616
2447,Těchlovice,64679446,534
2448,Valkeřice,00555967,410
2449,Varnsdorf,00261718,15788
2450,Velká Bukovina,00555886,468
2451,Velký Šenov,00261734,2002
2452,Verneřice,00261742,1117
2453,Veselé,00555908,317
2454,Vilémov,00261769,925
2455,Bílence,00261793,246
2456,Blatno,00261807,428
2457,Boleboř,00261815,232
2458,Březno,00261823,1284
2459,Černovice,00261831,512
2460,Domašín,00261840,170
2461,Droužkovice,00261858,758
2462,Hora Svatého Šebestiána,00261866,278
2463,Hrušovany,00261874,516
2464,Chbany,00261882,607
2465,Chomutov,00261891,49784
2466,Jirkov,00261904,20473
2467,Kadaň,00261912,18147
2468,Kalek,00261921,213
2469,Klášterec nad Ohří,00261939,15222
2470,Kovářská,00261947,1186
2471,Kryštofovy Hamry,00075566,102
2472,Křimov,00261971,364
2473,Libědice,00673153,235
2474,Loučná pod Klínovcem,00831123,91
2475,Málkov,00262013,686
2476,Mašťov,00262021,615
2477,Měděnec,00262030,132
2478,Místo,00262048,425
2479,Nezabylice,00673170,202
2480,Okounov,00262056,319
2481,Otvice,00262064,623
2482,Perštejn,00262072,1108
2483,Pesvice,00673323,127
2484,Pětipsy,00262081,202
2485,Račetice,00673161,374
2486,Radonice,00262111,1199
2487,Rokle,00262129,305
2488,Spořice,00262137,1309
2489,Strupčice,00262145,742
2490,Údlice,00262153,1093
2491,Vejprty,00262170,3116
2492,Veliká Ves,00262188,313
2493,Vilémov,00262200,597
2494,Vrskmaň,00262218,243
2495,Všehrdy,00673293,142
2496,Všestudy,00673331,184
2497,Výsluní,00262251,351
2498,Vysoká Pec,00262242,968
2499,Bechlín,00263346,1241
2500,Bohušovice nad Ohří,00263362,2533
2501,Brňany,00263389,430
2502,Brozany nad Ohří,00263397,1210
2503,Brzánky,00832138,90
